Year,Country/area,Sector,Technology,Sub Technology,Number of Patents
2000,Germany,Power,Ocean Energy,Ocean Energy,35
2000,Germany,Power,Solar Energy,PV,255
2000,Germany,Power,Solar Energy,PV - Thermal Hybrid,12
2000,Germany,Power,Solar Energy,Solar Thermal,226
2000,Germany,Power,Wind Energy,Wind Energy,292
2000,Germany,Transport,Bioenergy,Biofuels,65
2000,Germany,Transport,Enabling Technologies,Electromobility - Charging Stations,123
2000,Germany,Transport,Enabling Technologies,Electromobility - Electric Energy Management,111
2000,Germany,Transport,Enabling Technologies,Electromobility - Energy Storage,178
2000,Germany,Transport,Enabling Technologies,Electromobility - Information/Communication Technologies,18
2000,Germany,Transport,Enabling Technologies,Electromobility - Machine related technology ,128
2000,Germany,Transport,Enabling Technologies,Energy Efficiency,207
2000,Germany,Transport,Enabling Technologies,Smart Grids,5
2000,Germany,Transport,Enabling Technologies,Hydrogen (storage and distribution and applications),113
